Country,ISO Country code,Continent,Ease of doing business score (0 = lowest performance to 100 = best performance),Economic Growth,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",GDP (current US$),GDP growth(annual %),GDP per capita (current US$),GINI index,GNI (current US$),GNI per capita (current LCU),"Government expenditure on education, total (% of government expenditure)","Inflation, GDP deflator (annual %)",Merchandise trade (% of GDP),"Net trade in goods (BoP, current US$)",Rural population (% of total population),Start-up procedures to register a business (number),Tax payments (number),Tax revenue (% of GDP),Trade (% of GDP),"Unemployment, total (% of total labor force) (modeled ILO estimate)",CO2 emissions (metric tons per capita),Electric power consumption (kWh per capita),"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",Population density (people per sq. km of land area),Renewable electricity output (% of total electricity output),Renewable energy consumption (% of total final energy consumption),Renewable internal freshwater resources per capita (cubic meters),"Renewable internal freshwater resources, total (billion cubic meters)",share of electricity from renewables generation,Surface Area (Km2),Total greenhouse gas emissions (% change from 1990),Adults (ages 15-49) newly infected with HIV,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)","Cause of death, by injury (% of total)","Cause of death, by non-communicable diseases (% of total)","Death rate, crude (per 1,000 people)",health expenditure % of GDP,health expenditure per person,"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)","Incidence of HIV, all (per 1,000 uninfected population)","Incidence of tuberculosis (per 100,000 people)",Infant Mortality,"Life expectancy at birth, total (years)","Maternal Mortality Per 100,000 Live Births","Mortality caused by road traffic injury (per 100,000 population)","Mortality rate attributed to household and ambient air pollution, age-standardized (per 100,000 population)","Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)","Mortality rate, adult, female (per 1,000 female adults)","Mortality rate, adult, male (per 1,000 male adults)","Mortality rate, infant (per 1,000 live births)","Mortality rate, under-5 (per 1,000 live births)",Population,"Prevalence of HIV, total (% of population ages 15-49)",Prevalence of severe food insecurity in the population (%),Prevalence of undernourishment (% of population),"Tuberculosis case detection rate (%, all forms)",Tuberculosis treatment success rate (% of new cases),Young people (ages 15-24) newly infected with HIV,% of primary school aged kids out of school,% of seats held by women in national parliaments,Access to electricity (% of population),Education as % of GDP,Happy Planet Index,Human capital index (HCI) (scale 0-1),Human Development Index,"School enrollment, secondary (% gross)",Sustainable Economic Development Assessment (SEDA),"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",Women Business and the Law Index Score (scale 1-100),Civil Liberties Score,Control Of Corruption,Domestic general government health expenditure (% of GDP),Financial Freedom Score,Government Effectiveness,Government Expenditure (% of GDP),Government Integrity Score,Judicial Effectiveness Score,Military expenditure (% of GDP),Military expenditure (% of general government expenditure),Military Spending as % of GDP,Overall Economic Freedom Score,Political Rights Score,Political Stability & Absence Of Violence,Regulatory Quality,Rule Of Law,UHC service coverage index,tsneEco_X,tsneEco_Y,EconomicsIndex,EconomicsClass,tsneEnv_X,tsneEnv_Y,EnvironmentIndex,EnvironmentClass,tsneHel_X,tsneHel_Y,HealthIndex,HealthClass,tsneHum_X,tsneHum_Y,HumanIndex,HumanClass,tsnePol_X,tsnePol_Y,PoliticsIndex,PoliticsClass,tsneSus_X,tsneSus_Y,SustainabilityIndex,SustainabilityClass
Denmark,DNK,Europe,85.28856,4.69,"59.15000153",3.98E+11,4.69,68007.75667,29,4.12E+11,442361.9789,"13.9115696","2.766608193",61.82525147,"18682870854",11.76,5,10,32.2352444,103.5122596,"4.797999859",5.107988509,5858.801536,"10.02965344","56.91445611",136.4569664,65.50592462,37.52,1031.916844,"6",0.852,42920,-25.91027262,100,"6.826140097","3.516020383","89.65784129","9.4",6.79,6003.3,"0.04","0.02","3.8",27.9,"81.55121951","4","3.7","13.2","0.3","43.561","71.498","3.1","3.6",5856733,"0.1",1.4,2.5,"87",34,100,,40,100,6.79,45.3,0.755094826,0.948,"130.8608246",82,"10.26",100,57,2.37,8.29217625,80,2,54.6,99.5,89.6,1.371591469,2.560620229,0.0137,78,40,0.95,1.8,1.936,85,4.4100122,-0.24328738,0.235205751,High,0.84862757,1.2753516,0.118526756,High,-6.163098,-7.246309,0.628457781,High,0.79845124,7.7388806,0.719596144,High,9.139074,-1.351603,0.639095681,High,-6.7693067,-3.1053488,0.468176423,High
Djibouti,DJI,Africa,60.49674,4.31,"22.50600052",3482987379,4.31,3150.436729,40.9,3422645607,550198.6781,,"4.463730555",209.331795,"-126608560.6",21.783,6,35,,223.1237803,"28.38599968",0.391063625,,"45.5496176","100",47.65331897,0,27.92,279.3311694,"0.3",0.017,23200,51.86178515,200,"37.41382335","10.8115461","51.77463003","8.821",3.63,61.8,"0.19","0.13","204",31.7,"62.694","248","23.5","159","31.3","213.047","301.584","47.2","55.9",1105557,"0.7",16.5,13.5,"80",85,100,33.48,26,61.76708221,3.63,,,0.509,"54.27222824",,"0.43",68.125,19,-0.78,0.96505356,50,-0.8,49.3,24.5,28.3,,,,55.3,5,-0.71,-0.9,-1.009,48,0.63068277,-3.925418,0.041019934,Low,-4.2812495,-5.0972548,0.002055164,Low,0.35777938,3.333766,0.361336325,Low,-4.4835324,-4.944789,0.315010638,Low,-2.8355827,1.09363,0.290753851,Low,4.6230173,-2.6286478,0.202035183,Low
Dominican Republic,DOM,North America,59.98867,12.27,"56.95800018",94243453937,12.27,8476.752157,47.1,89537253938,460827.3688,"22.34151077","7.777158119",38.84089395,"-6803100000",16.787,7,7,13.02493499,44.29365655,"8.49600029",2.502324464,1597.142222,"13.72632115","99.91344262",228.4337991,11.63244298,13.98,2159.552916,"23.5",0.109,48670,96.42837607,3800,"12.57576408","15.48988619","71.93434883","6.46",4.62,491.1,"0.67","0.39","45",19.5,"72.889","95","64.6","43","2.2","102.537","198.832","27.9","33.8",11117873,"0.9",,6.7,"67",84,1000,4.11,28,100,4.62,54.8,0.502766907,0.767,"79.7734375",48.1,"6.68",86.25,41,-0.57,2.66199851,40,0,17.7,30.8,55.9,0.650562726,3.399302324,0.0065,63,27,0.14,0.1,-0.096,66,-0.6397686,2.0035195,0.153875579,High,-1.8797936,-4.8565826,0.063853918,Low,0.2907643,-1.9516399,0.24531658,Low,-2.0799654,1.8978001,0.554514632,High,2.0578392,-0.31786212,0.329777104,Low,-0.72317386,-3.2499177,0.269467563,Low
Ecuador,ECU,South America,57.7227,4.24,"60.66999817",1.06E+11,4.24,5965.132871,45.9,1.05E+11,5871.659553,"11.60818005","2.579330935",49.34354324,"3499294119",35.639,11,8,,41.37523008,"6.427000046",2.265370728,1375.862154,"14.88610066","98.31562394",69.42207357,52.80294232,17.73,25507.76245,"442.4",0.812,256370,70.9249596,1700,"12.33679297","11.45970607","76.20350262","7.534",4.13,486.5,"0.19","0.11","48",16.6,"72.153","59","20.1","24.5","0.6","114.477","213.076","11.1","13",17797737,"0.4",12.8,15.4,"66",70,500,1.38,39,98.84999847,4.13,58.8,0.594254851,0.74,"100.5603409",48.1,"4.2",89.375,40,-0.57,4.82940865,40,-0.2,39.8,37.2,47.3,2.455712023,6.512893751,0.0246,54.3,31,-0.27,-0.7,-0.339,80,-2.117219,1.4205266,0.119054355,Low,1.2519109,0.71325994,0.199320364,High,-2.0757067,-2.2038772,0.547505745,High,-2.8729436,2.643408,0.624428686,High,2.4628906,0.683499,0.442750103,High,-0.7964005,-0.27255252,0.386611851,High
Egypt,EGY,Africa,60.05364,3.33,"37.4070015",4.04E+11,3.33,3698.834981,31.8,3.92E+11,56254.20127,"11.64000034","4.81371578",31.45645813,"-29233930500",57.138,6,27,,33.75918019,"9.329000473",2.361040835,1592.219894,"86.99945205","100",109.1039772,8.259285514,5.3,9.468022941,"1",0.096,1001450,112.4343926,,"9.628460813","4.763708503","85.6078303","5.851",2.48,149.8,,,"10",3.1,"70.99","37","10.1","108.9","2","105.044","185.848","16.6","19.5",109262178,"0.1",7.1,5.1,"60",89,,,28,100,2.48,43.2,0.494374663,0.731,,43.1,"0.36",50.625,12,-0.68,1.31698537,50,-0.4,34.1,28.7,22.1,1.300819109,4.759475719,0.013,49.1,6,-1.02,-0.5,-0.245,70,-4.165579,-0.9582898,0.138919009,Low,-4.720759,-6.835696,0.009818066,Low,-3.9452293,-1.5203265,0.535292524,High,-1.9029015,-1.3987972,0.447215606,Low,-1.812471,2.088142,0.284250497,Low,0.9314345,-1.9247078,0.283099141,Low
El Salvador,SLV,North America,65.25247,10.8,"53.32500076",28736940000,10.8,4551.184661,36,27112720000,4293.950413,"12.44863987","6.088425321",75.52996248,"-5146791563",25.882,9,7,18.12892354,69.45115055,"5.940000057",1.241995331,949.9919962,"24.47229229","100",300.1029943,57.8226749,19.39,2488.767506,"15.63",0.712,21040,88.1295049,1000,"15.7989247","19.09348348","65.10758747","8.442",3.39,300.1,"0.28","0.17","49",1.6,"71.061","46","20.9","41.9","2","124.344","293.265","11.1","12.9",6314167,"0.5",14.7,7.7,"62",89,200,,27,100,3.39,56.3,0.546176612,0.675,,47.2,"3.89",88.75,33,-0.53,4.54885817,60,-0.3,21.3,36.1,46.8,1.374902032,4.477472206,0.0137,59.6,26,-0.21,-0.3,-0.848,76,0.90716624,0.18843432,0.110835531,Low,1.3901652,0.87763065,0.025287493,Low,-0.5156723,-1.6707681,0.44389837,Low,-2.347306,1.3945946,0.547415027,High,2.0285635,0.2628587,0.377104677,High,-0.43128103,-0.1837572,0.30090822,High
Equatorial Guinea,GNQ,Africa,41.05286,-0.95,"49.85400009",12269392840,-0.95,7506.667523,,9147762171,3103591.607,,"18.16219531",61.94275543,,26.439,16,46,6.168908909,89.42737007,"9.244999886",3.444876441,,"53.24062104","100",58.26973262,57.82747604,6.58,16741.4559,"26",0.106,28050,2519.019567,4200,"59.50939333","7.709717115","32.78088753","9.026",,254.9,"5.77","3.8","275",3.6,"60.708","301","27.2","177.7","22.3","243.056","318.217","58.3","78.5",1634466,"6.9",,,"42",74,1200,,23,66.74772644,,,,0.596,,,"7.23",51.875,5,-1.57,0.6663335,30,-1.2,36.1,6.5,6.9,1.305171549,8.116464651,0.0131,47.2,0,-0.29,-1.7,-1.197,43,-5.1507673,-2.8678172,0.136814291,Low,1.5238973,-5.34443,0.02966809,Low,2.3679254,4.6115494,0.347815489,Low,-1.9316229,-5.0624986,0.272831334,Low,-4.213235,1.4438848,0.145686677,Low,5.82805,-2.5106943,0.186563176,Low
Eritrea,ERI,Africa,21.5998,,"70.65100098",,,,,,,,,62.52423702,,58.015,13,30,,,"8.046999931",0.25151351,96.28621076,"48.03019868","100",29.76487928,0.492610837,73.67,800.2702627,"2.8",0.053,121630.327,49.25122003,200,"38.64450538","11.87730724","49.47818666","6.424",,25.3,"0.11","0.06","74",2.7,"67.133","480","37.9","173.7","45.6","172.033","234.245","29.7","39.3",3620312,"0.5",,,"60",91,100,,22,52.1710968,,,,0.492,,,"1.44",69.375,2,-1.24,0.78496498,20,-1.7,28.5,11.1,3.9,,,,39.7,1,-1.01,-2.3,-1.572,50,-7.1205473,0.04364278,0.053872936,Low,-5.595903,-3.0826,0.01334026,Low,0.9748614,3.110282,0.35835197,Low,-3.3717065,-5.232726,0.30252046,Low,-4.8579345,1.5806857,0.008043235,Low,4.678558,-1.0684657,0.147225772,Low
Estonia,EST,Europe,80.61685,8.35,"59.37200165",37191166152,8.35,27943.70122,34.8,36545965937,23216.36267,"13.4449501","5.99690608",121.3379538,"-278851667.4",30.585,3,8,20.95921299,138.4663387,"6.330999851",7.672029278,6732.367473,"6.732124015","0",29.35447728,14.4187386,31.29,9578.731749,"12.71",0.442,45340,-58.24717823,,"3.582599329","4.222513552","92.19489098","11.9",5.26,1598.8,,,"9.3",35.4,"78.34634146","9","4.5","25","0.1",,,"1.7","2.1",1330932,,0.8,2.5,"87",75,,,26,100,,34.4,0.777203202,0.89,"114.9530792",70.8,"9.23",97.5,56,1.54,5.00857496,70,1.4,39.8,83.9,92.3,2.155515046,4.846575137,0.0216,80,38,0.76,1.6,1.428,78,2.6733522,-1.4352865,0.143303846,High,3.959006,-2.8768928,0.12345994,High,-7.1523438,-4.515064,0.508608385,High,1.6573043,6.1821914,0.600667249,High,7.9158077,-0.84228474,0.627464657,High,-6.1577034,-2.7843678,0.400700815,High
Eswatini,SWZ,Africa,59.49273,7.43,"36.7519989",4743335153,7.43,3978.403528,50.4,4361962647,54085.55488,"18.51000023","-0.899357001",84.24452144,"240825502.7",75.631,12,33,,86.88450516,"25.75600052",0.820784292,,"17.16878731","100",68.67920507,46.57258065,65.95,2257.156854,"2.64",0.546,17360,53.78462876,6300,"42.07940293","12.05825848","45.86233995","9.603",5,264.1,"14.88","7.65","348",,"59.692","437","33.5","137","27.9","300.993","484.633","37.4","46.6",1192271,"27.9",18.3,11,"47",81,2200,,10,79.73049927,5,35.3,0.372500807,0.597,,,"10.04",46.25,16,-0.65,3.44011402,40,-0.7,34.1,32.1,36.9,1.698023627,,0.017,51.4,1,-0.03,-0.6,-0.561,58,-2.332215,-3.5904696,0.093239301,Low,3.4015496,1.6420485,0.022438394,Low,3.6285603,4.1759357,0.043916579,Low,-1.3861864,-4.777688,0.300594894,Low,-2.2857103,2.0530903,0.322730229,Low,5.245119,1.861174,0.156583879,Low
Ethiopia,ETH,Africa,47.97613,5.64,"75.56500244",1.11E+11,5.64,925.077428,33,1.11E+11,35912.3905,"20.92220116","21.77832231",17.90401802,"-8509208859",77.826,11,29,7.519920423,24.00611364,"3.694000006",0.160882449,68.05233164,"38.97873776","100",105.860623,99.96167481,88.92,1069.044558,"122",1,1136239.544,175.3203116,8300,"44.65431528","12.08698188","43.25870265","6.616",5.07,26.7,"0.17","0.12","119",3.2,"65.371","401","28.2","144.4","43.7","174.956","263.664","35.4","48.7",120283026,"0.8",19.6,24.9,"73",86,3500,12.79,43,51.0939827,5.07,41.7,0.382784843,0.498,,32.3,"2.36",76.875,11,-0.4,0.73514652,20,-0.6,17.7,33.2,20.5,0.527828227,3.784981641,0.0053,49.6,12,-2.07,-0.9,-0.606,38,-6.9770055,1.4454635,0.042565872,Low,2.5693078,4.2620287,0.048876058,Low,0.8095756,3.2794185,0.426326869,Low,-3.0554838,-5.9198866,0.372540854,Low,-4.069176,-0.26568556,0.187075524,Low,5.38396,0.30463174,0.215477035,Low
Fiji,FJI,Oceania,61.47892,-4.08,"53.6590004",4296304590,-4.08,4646.612723,,4045990671,9060.715636,"16.83370018","-3.446577853",68.22142003,"-659800659.4",42.26,11,38,23.99335343,71.73676439,"5.238999844",1.774700174,,"10.8401599","82.80318235",50.60810071,45.01588482,26.48,31084.47246,"28.55",0.579,18270,-3.035459305,200,"9.350539618","5.944280241","84.70517966","8.078",5.07,235.7,"0.32","0.19","66",3.4,"67.924","34","13.5","99","2.9","179.223","235.5","23","27.4",924610,"0.2",4.2,5.7,"56",54,100,1.18,22,100,5.07,,0.508573294,0.73,"95.13703156",49,"3.32",82.5,35,0.47,2.49526525,50,0.6,32.6,54.3,43.4,1.650627462,4.032223144,0.0165,56.4,23,0.67,0,0.311,61,-2.6246753,-0.37389123,0.09718253,Low,1.5785799,-0.35048327,0.147688373,High,-3.3497305,-0.7117091,0.477109514,High,-1.1273485,0.5524045,0.555503953,High,3.5708318,0.8825422,0.425299427,High,-0.7812241,-0.781263,0.340556759,High
Finland,FIN,Europe,80.17834,3.47,"55.64099884",2.97E+11,3.47,53654.7503,27.2,3.03E+11,46218.41081,"12.04329967","2.548311546",56.49005583,"3595508027",14.404,3,8,20.82437399,71.63411653,"7.525000095",7.372854761,15249.98938,"5.861331001","0",16.37126101,44.49903057,45.76,19378.41997,"107",0.532,338460,-8.579336138,,"1.42416707","5.643007367","92.93282585","10",6.28,4450.3,,,"3.5",23,"82.13170732","3","3.9","7.2","0.1","42.095","91.276","1.9","2.3",5541017,,2.4,2.5,"87",25,,,46,100,,51.3,0.796001017,0.94,"144.2259064",81.3,"10.78",97.5,60,2.27,7.33806992,80,2,57.1,96.4,97.8,2.030280832,3.548831985,0.0203,78.3,40,0.98,1.9,2.058,83,3.6975048,0.086731665,0.174364569,High,4.189284,-2.2186477,0.2330524,High,-5.855719,-7.2692804,0.603996931,High,0.4567166,8.117129,0.724898828,High,9.147447,-1.2185386,0.687208932,High,-6.9268994,-3.1278346,0.484704332,High
France,FRA,Europe,76.80465,6.96,"51.13000107",2.96E+12,6.96,43658.97898,29.3,3.05E+12,38002.92229,"9.672380447","1.333318426",43.91219744,"-66739558650",18.758,5,9,24.17084372,56.86382289,"8.062999725",4.459547465,6939.943525,"11.81496362","78.21356392",123.385999,15.85766663,15.53,2967.887414,"200",0.237,549086.87,-10.01264095,5000,"6.368028036","6.355869093","87.27610337","9.9",5.41,4491.7,"0.17","0.09","7.7",,"82.17560976","8","5.1","9.7","0.3",,,"3.4","4.4",67749632,"0.3",1,2.5,"82",37,1000,,40,100,,51.8,0.762737215,0.903,"104.6316833",73.9,"12.33",100,51,1.31,8.32757092,70,1.3,57,75.9,85.5,1.945382262,3.207239551,0.0195,65.9,38,0.37,1.2,1.289,84,3.2418199,0.079218484,0.21659477,High,-1.0438628,-3.267551,0.153526667,High,-5.836257,-6.906044,0.683178962,High,-0.12639797,7.1155396,0.652869256,High,7.9585223,-1.7150553,0.611690267,High,-5.684804,-3.4776347,0.463571984,High
Gabon,GAB,Africa,45.0251,1.51,"37.51900101",20216843174,1.51,8635.325694,42.2,17052331402,4039008.057,"14.15939045","25.34846965",46.52556247,,9.577,7,50,10.21533638,70.05999659,"22.26499939",2.340839626,1118.536954,"44.38554846","100",8.746512497,43.74412041,89.88,73123.37117,"164",0.582,267670,181.5918167,1300,"46.27022173","8.723468716","45.00630924","6.909",3.18,215,"1.15","0.8","513",3.6,"66.531","252","23.9","76","20.6","181.631","270.109","30.7","41.7",2341179,"3",,17.2,"42",63,500,,16,91.57156372,3.18,39.9,0.457612455,0.706,,40.9,"8.74",82.5,18,-0.85,1.66962504,40,-0.8,22.6,24.4,18.6,1.710036103,8.808852091,0.0171,55.8,3,-0.09,-0.8,-0.696,49,-4.10618,-2.7179992,0.143129935,High,4.182254,2.555806,0.055721988,Low,-0.55508703,2.7047284,0.430055413,Low,-0.50958675,-2.5025587,0.406279771,Low,-2.8494644,1.3277868,0.273182665,Low,4.1960363,0.24711145,0.261673954,Low
"Gambia, The",GMB,Africa,50.29381,5.63,"50.96500015",2038417462,5.63,772.1523951,50.2,1987167103,38754.30355,"14.09726143","7.84693621",31.34784762,"-511759816.4",36.778,7,49,,47.50036503,"11.21199989",0.23117857,,"33.98263855","100",233.620885,0,49.24,1195.751257,"3",0.01,11300,196.6766684,1600,"52.1731292","10.73015437","37.09671693","7.373",2.76,29.7,"1.4","0.8","149",51.4,"62.612","597","29.6","237","29.7","240.112","292.306","34.7","49.4",2639916,"1.7",27.1,21.6,"57",87,500,13.63,9,62.27306747,2.76,,0.421570629,0.5,,,"3.55",69.375,26,-0.36,1.04134357,50,-0.6,29.4,38.1,37.2,0.748651383,2.667397887,0.0075,58,21,0.18,-0.9,-0.386,48,-4.8273187,-1.0367117,0.069258314,Low,-4.7427835,-3.745134,0.002872585,Low,0.940762,4.2621846,0.325101429,Low,-2.877958,-4.820807,0.299774166,Low,-0.59748346,-0.26483116,0.289643253,Low,5.0730076,-1.7117751,0.197329949,Low
Georgia,GEO,Asia,83.73393,10.36,"52.64500046",18629365597,10.36,5023.27438,40.1,17459909901,15163.80094,"13.35789967","10.25408911",77.0128211,"-3164995917",40.128,1,5,22.43079503,93.87579829,"10.6590004",2.717624226,2693.97276,"22.19605462","100",53.20817791,78.03932429,25.22,15625.66781,"58.13",0.759,69700,-61.72809374,1000,"2.753144065","3.901356014","93.34550045","13.976",3.85,291.1,"0.28","0.14","64",33,"72.765","25","12.4","101.8","0.2","71.825","231.779","8.2","9.3",3708610,"0.3",9.5,7.6,"62",87,100,0.62,19,100,3.85,44.3,0.568925798,0.802,"102.5507507",55.4,"8.25",88.125,36,0.69,2.7172761,70,0.7,29.8,64.4,56.4,1.673221675,5.242639922,0.0167,71.8,22,-0.42,1.1,0.171,65,0.84580684,-1.0870359,0.042920096,Low,1.3731583,1.8195646,0.031518461,Low,-6.454205,-2.0734725,0.453067886,High,-0.3210269,3.1465783,0.544033954,High,4.123861,0.9301289,0.464458175,High,-3.5710552,-1.661284,0.307199714,High
Germany,DEU,Europe,79.71004,2.89,"59.19200134",4.26E+12,2.89,51203.55447,27,4.41E+12,44827.81027,"11.37255955","3.057600698",71.64569561,"2.18E+11",22.456,9,9,11.45888366,80.39830506,"3.535000086",7.911621016,7035.482975,"12.02876736","89.17435643",232.6577309,29.23177012,17.17,1287.714355,"107",0.486,357590,-24.23084242,2100,"4.759985416","4.641679278","90.59833276","11.9",4.98,5440.3,"0.06",,"5",47.2,"80.94146341","7","3.8","16","0.6",,,"3.1","3.7",83196078,,1.1,2.5,"91",74,1000,,35,100,,52.7,0.751162469,0.942,"97.10997772",79.6,"12.91",97.5,55,1.81,9.09177876,70,1.3,44.2,89.4,95.3,1.337384336,2.515903658,0.0134,76.1,39,0.76,1.6,1.609,86,3.6827114,1.4269933,0.250421827,High,0.44976366,-1.9253908,0.135001937,High,-7.591145,-5.903758,0.630558968,High,-0.18702962,7.0568104,0.613263507,High,8.651005,-1.6652373,0.602592693,High,-5.9768195,-3.6421611,0.446367786,High
Ghana,GHA,Africa,59.96017,5.36,"65.1989975",77594279055,5.36,2363.299296,42.3,75637343975,13631.1386,,"11.18722679",36.54393126,"2042966219",42.015,8,36,12.24424167,38.51686166,"4.703999996",0.635740643,339.1927426,"34.7135141","100",137.6473861,50.89200244,41.8,961.2245811,"30.3",0.385,238530,265.4252047,13000,"45.23819591","9.375667066","45.38613919","7.448",3.89,75.3,"0.86","0.57","136",,"64.114","308","25.7","203.8","18.8","210.16","281.151","33","44.7",32833031,"1.7",5.6,4.1,"30",86,4800,5.98,15,85.87355042,,39.5,0.450056404,0.632,"77.6725769",40.2,"2.75",75,45,-0.11,1.3756671,60,-0.1,26.5,45.4,57,0.492100595,1.371131061,0.0049,59.8,35,0.07,-0.2,-0.081,45,-4.2556796,1.2079114,0.124844178,Low,3.1762598,0.7471506,0.031960441,Low,-0.24987462,3.2299633,0.452094408,High,-1.3542272,-2.4412858,0.439144403,Low,1.8329587,-1.3626262,0.307806084,Low,3.7859104,-2.1339364,0.271169903,Low
Greece,GRC,Europe,68.42391,8.34,"43.0359993",2.15E+11,8.34,20192.5963,36.7,2.14E+11,16998.13959,"7.503829956","1.292199149",57.25451604,"-21135301378",19.962,4,8,26.94510259,71.67084493,"14.79500008",5.59618907,5062.606422,"16.21826638","100",80.63974689,28.65578326,18.51,5409.649434,"58",0.436,131960,4.047346283,1000,"12.85460659","3.909227141","83.23616725","12.2",3.6,1500.6,"0.14","0.07","4.1",14.5,"81.08780488","3","8.3","27.6","0.1","43.464","93.517","3.6","4.1",10641221,"0.2",1.6,2.5,"46",,100,0.89,22,100,,48.8,0.690006495,0.887,"105.5473099",64.1,"10.18",100,50,0.21,3.77202368,50,0.4,51.3,52.3,69.9,3.86736963,6.53186872,0.0387,61.5,37,0.15,0.4,0.35,78,1.2482133,0.051591955,0.142004342,High,0.2764862,-2.3185515,0.029615501,Low,-5.882647,-3.4448423,0.599540558,High,0.2635295,5.7216005,0.616069133,High,5.3398156,-0.16298285,0.56721672,High,-4.1316032,-2.525396,0.390889251,High
Guatemala,GTM,North America,62.59562,7.53,"56.0530014",85985752107,7.53,5025.542291,53,84076413852,38006.44471,"23.75538063","2.751800976",46.93800893,"-6314179850",47.755,6,8,10.56094993,41.15863912,"3.572000027",1.162970924,601.1897311,"24.07064893","100",157.1287171,60.39066739,62.92,6576.718201,"109.2",0.754,108890,111.4086497,1000,"22.30970346","16.1241799","61.56611646","5.337",3.3,271,"0.09","0.07","27",,"71.797","95","22.9","73.8","6.3","134.551","239.504","20.1","23.6",17109746,"0.2",20.7,16,"65",89,500,10.55,19,97.05526733,3.3,57.9,0.461270094,0.627,"50.43603897",42.5,"2.45",70.625,30,-1.17,2.38681698,50,-0.8,12.5,26.5,36.9,0.444567515,2.955731641,0.0044,63.2,21,-0.39,-0.3,-1.093,57,-2.5939145,2.0241728,0.123323126,Low,2.824253,2.3390763,0.041741958,Low,-0.57248616,-1.6186529,0.484569661,High,-2.9580023,-1.0238067,0.43277561,Low,-0.43553144,0.22606845,0.233916229,Low,0.65078735,0.1862776,0.263265317,Low
Guinea,GIN,Africa,49.42922,3.12,"58.18099976",16091817842,3.12,1189.175999,39.4,14217021446,10257312.87,"12.40536022","11.5",90.27569254,"5203770000",62.736,6,33,,132.3825124,"6.342000008",0.306735631,,"26.0624902","100",55.03907102,78.75156502,65.44,17549.93714,"226",0.636,245860,55.51318586,4700,"57.96012489","8.76659121","33.27328387","9.847",2.2,43,"0.76","0.49","175",34.7,"59.327","576","29.7","243.3","44.6","253.585","288.494","62","95.6",13531906,"1.5",48.9,,"79",91,2500,14.46,17,44.66867828,2.2,38.1,0.370942473,0.465,,28.3,"1.11",73.75,24,-1,0.89733303,40,-0.9,25.4,25.6,27.8,1.484541117,8.105508513,0.0148,54.2,10,-0.97,-1,-1.131,37,-4.9485564,0.4309278,0.144717977,High,2.8923833,2.6771302,0.050602139,Low,1.3377099,5.2381434,0.28910951,Low,-3.524799,-5.5632734,0.218214342,Low,-2.9922216,0.2739038,0.255408582,Low,5.971883,-0.44474334,0.19161051,Low
Guinea-Bissau,GNB,Africa,43.23319,3.8,"66.03700256",1638517533,3.8,795.1185693,,1640828020,441539.3985,,"6.218315512",34.78754352,"-93481598.89",55.383,9,46,,43.63584037,"6.758999825",0.167473846,,"29.77470228","100",57.03628564,0,86.24,8119.943749,"16",0.024,36130,366.888499,1400,"57.6206587","9.206102873","33.17323993","8.574",2.71,62.6,"1.56","1.12","361",58.3,"59.999","667","32.2","214.7","35.3","261.521","353.359","51.4","76.8",2060721,"3.1",29.2,,"33",75,500,,14,33.33546829,2.71,,,0.483,,,"5.38",42.5,26,-1.3,0.53241199,30,-1.4,21.9,15.9,14,1.782638659,7.08650227,0.0178,46,17,-0.28,-1.3,-1.438,37,-5.9724917,0.3837478,0.074194334,Low,-5.4659705,-2.5871925,0.005052724,Low,1.4235846,5.007338,0.308884892,Low,-3.9437606,-5.7268124,0.175482848,Low,-3.427575,0.19878632,0.211939064,Low,5.9429383,-1.3773102,0.155110772,Low
Guyana,GUY,South America,55.49196,19.93,"43.61899948",8044498801,19.93,9998.544311,44.6,7654530395,1983637.891,,"22.46543503",108.5462279,"635489440.8",73.103,7,35,,,"16.42499924",3.568061597,,"22.37557463","99.98817732",3.742694329,0,11.35,301720.3065,"241",0.024,214970,-63.30733113,500,"17.411326","12.94066669","69.64800538","8.026",4.45,325.9,"1.02","0.62","83",4.1,"68.486","169","22.3","107.8","3.6","167.218","284.375","23.8","28.4",804567,"1.4",,4.9,"62",67,100,,36,92.5405426,,,0.495226473,0.714,,42.8,"6.89",86.875,43,-0.17,2.93101764,30,-0.2,31.2,41.5,47.4,0.956516235,3.575187779,0.0096,59.5,30,-0.14,-0.5,-0.398,74,-2.123702,-2.790825,0.143543974,High,-2.9777977,-3.2159264,0.016187767,Low,-1.4465852,-0.984927,0.455334212,High,-3.022611,1.3519764,0.532743969,High,2.2378461,-0.38577545,0.367490996,Low,-0.42513722,-3.6028712,0.303060184,High
